Nombre,Ultimo,Maximo,Minimo,Var,Porc_Var
GSK plc DRC,"35,19","35,61","35,13","-0,37","-1,04%"
Guess,"22,21","22,96","22,18","-0,26","-1,16%"
Guidewire,"68,59","71,14","68,59","-0,92","-1,32%"
Guild,"11,06","11,06","10,29","+0,22","+2,03%"
Gulfport Energy Operating,"78,84","84,13","78,32","-1,25","-1,56%"
GXO Logistics,"52,39","54,60","52,04","-0,15","-0,29%"
H B Fuller,"71,83","73,53","71,50","-1,12","-1,54%"
H&R Block,"38,49","38,66","38,07","+0,33","+0,86%"
Haemonetics,"86,64","88,00","85,67","+0,76","+0,89%"
Hagerty,"9,49","9,53","9,05","+0,32","+3,49%"
HALEON ADR,"7,91","8,07","7,89","-0,24","-2,94%"
Halliburton,"40,60","43,42","40,49","-1,93","-4,54%"
Hamilton Beach A,"12,70","13,06","12,50","-0,40","-3,05%"
Hanesbrands,"8,12","8,27","8,09","-0,08","-0,98%"
Hannon Armstrong Sustainable,"34,43","35,50","34,24","-0,25","-0,72%"
Harley-Davidson,"44,35","45,47","44,23","-0,60","-1,33%"
Harmony Gold Mining,"3,720","3,940","3,710","-0,100","-2,62%"
Harsco,"7,02","7,45","7,02","-0,28","-3,84%"
Hartford,"75,11","76,45","74,96","-0,85","-1,12%"
Haverty Furniture,"33,88","34,47","33,66","+0,12","+0,36%"
Haverty Furniture A,"35,22","35,22","35,22","+0,79","+2,29%"
Hawaiian Electric Industries,"41,31","42,00","41,25","-0,58","-1,38%"
Hayward Holdings,"12,30","12,59","12,27","-0,14","-1,13%"
HCA,"256,76","262,70","256,42","-1,56","-0,60%"
HCI Group Inc,"46,50","46,99","45,05","+1,15","+2,54%"
HDFC Bank ADR,"68,65","69,20","67,97","+1,65","+2,46%"
Healthcare RT,"20,92","21,16","20,77","-0,10","-0,48%"
Healthpeak Properties,"26,74","27,28","26,71","-0,28","-1,04%"
Hecla Mining,"5,960","6,320","5,960","-0,080","-1,32%"
Heico,"162,61","166,91","162,57","-2,85","-1,72%"
Heico A,"128,09","131,07","128,06","-1,58","-1,22%"
Heliogen,"0,661","0,750","0,653","-0,004","-0,65%"
Helios Tech,"58,98","62,24","58,87","-1,74","-2,87%"
Helix,"7,580","8,140","7,535","-0,460","-5,72%"
Helmerich Payne,"47,57","50,72","47,47","-2,25","-4,52%"
Herbalife,"16,40","17,29","16,38","-0,56","-3,30%"
Herc Holdings,"143,84","147,59","143,07","+0,73","+0,51%"
Hercules Capital,"13,95","14,15","13,89","+0,06","+0,43%"
Heritage Insurance,"2,210","2,300","2,140","-0,020","-0,90%"
Hersha,"8,63","8,84","8,50","+0,02","+0,23%"
Hershey Co,"216,77","226,17","216,73","-9,39","-4,15%"
Hess,"150,76","156,98","150,62","-0,89","-0,59%"
Hewlett Packard,"16,08","16,35","16,07","-0,17","-1,05%"
Hexcel,"60,98","62,93","60,90","-1,38","-2,21%"
HF Sinclair,"53,35","54,66","52,23","+0,95","+1,81%"
Highwoods Properties,"29,36","30,02","29,12","-0,55","-1,84%"
Hillenbrand,"44,88","46,77","44,82","-1,08","-2,35%"
Hilltop,"29,89","31,01","29,74","-1,32","-4,23%"
Hilton Grand Vacations,"43,82","45,49","43,76","-0,60","-1,35%"
Hilton Worldwide,"134,53","138,22","134,41","-1,66","-1,22%"
Hims Hers Health,"7,73","7,97","7,71","+0,05","+0,65%"
Hippo,"17,60","18,11","16,89","+0,45","+2,62%"
HireRight Holdings,"11,63","11,81","11,17","+0,20","+1,75%"
HNI,"30,22","31,08","30,15","-0,56","-1,82%"
Holley,"2,75","2,83","2,63","+0,16","+6,18%"
Home BancShares,"22,53","23,07","22,48","-0,59","-2,55%"
Home Depot,"323,69","334,52","322,93","-3,84","-1,17%"
Honda Motor ADR,"23,80","24,34","23,78","-0,18","-0,75%"
Horace Mann Educators,"36,68","38,22","36,48","-1,38","-3,63%"
Horizon Global Corp,"1,730","1,740","1,730","-0,010","-0,57%"
Hormel Foods,"44,46","46,22","44,42","-1,89","-4,08%"
Houlihan Lokey Inc,"96,57","98,40","96,04","-0,02","-0,02%"
Hovnanian Enterprises,"48,97","52,31","47,86","-1,54","-3,05%"
Howard Hughes,"81,30","84,21","80,85","-1,32","-1,60%"
Howmet,"39,53","40,91","39,49","-1,08","-2,66%"
HP Inc,"27,53","28,02","27,46","-0,06","-0,22%"
HSBC ADR,"36,18","36,65","36,18","-0,12","-0,33%"
Hubbell,"227,97","232,18","226,78","-2,01","-0,87%"
HubSpot Inc,"318,42","329,74","316,00","-3,45","-1,07%"
HudBay Minerals,"6,020","6,340","6,020","0,000","0,00%"
Hudson Pacific,"10,39","10,57","10,20","-0,07","-0,67%"
Humana,"484,75","493,77","484,08","-5,71","-1,16%"
Huntington Ingalls Industries,"219,33","221,73","218,09","-2,22","-1,00%"
Huntsman,"30,56","31,18","30,50","-0,10","-0,33%"
HUYA,"4,74","5,24","4,72","-0,29","-5,77%"
Hyatt,"104,47","107,12","103,85","-0,52","-0,50%"
Hyliion Holdings,"3,18","3,37","3,11","+0,09","+2,91%"
Hyster-Yale Materials Handling,"31,70","32,91","31,41","-0,13","-0,41%"
IAA,"39,93","40,57","39,87","-0,41","-1,02%"
IAMGold,"2,650","2,815","2,640","-0,060","-2,21%"
Ibere Pharmaceuticals,"10,150","10,160","10,145","+0,010","+0,10%"
IBM,"140,41","144,68","140,23","-4,78","-3,29%"
ICE,"107,67","108,86","107,25","+0,26","+0,24%"
ICICI Bank ADR,"21,23","21,38","21,19","+0,13","+0,62%"
ICL Israel Chemicals,"8,100","8,345","8,060","+0,090","+1,12%"
IDACORP,"104,15","107,54","104,15","-3,03","-2,83%"
IDEX,"233,97","239,85","233,70","-2,73","-1,15%"
IDT,"27,95","28,26","27,67","+0,41","+1,49%"
IFF,"114,70","118,34","114,63","-1,88","-1,61%"
IGT,"24,60","25,11","24,44","-0,12","-0,49%"
IHS Holding,"7,42","7,57","7,42","-0,05","-0,67%"
Ihuman,"3,75","3,86","3,64","+0,06","+1,63%"
Illinois Tool Works,"227,80","234,37","227,11","-4,51","-1,94%"
Imax,"15,90","16,32","15,61","-0,23","-1,43%"
Independence Contract Drilling,"5,000","5,200","4,880","+0,100","+2,04%"
Independence Realty Trust Inc,"17,70","18,10","17,56","-0,24","-1,34%"
Industrias Bachoco ADR,"51,82","52,89","51,82","-0,75","-1,43%"
Informatica,"16,48","16,87","16,13","-0,19","-1,14%"
Infosys ADR,"18,75","18,99","18,75","+0,08","+0,43%"
ING ADR,"13,23","13,48","13,20","-0,20","-1,49%"
Ingersoll Rand,"55,90","57,31","55,79","-0,90","-1,58%"
Ingevity,"79,04","81,36","78,94","-1,23","-1,53%"
Ingredion,"102,30","105,24","102,12","-2,14","-2,05%"
Innovate,"2,540","2,650","2,510","-0,070","-2,68%"
Innovative Industrial Properties,"110,88","115,55","110,33","-3,39","-2,97%"
Insperity,"110,97","113,84","110,92","-1,39","-1,24%"
Inspire Medical Systems,"252,82","258,37","251,97","-2,81","-1,10%"
Installed Building,"103,44","103,90","102,12","+2,08","+2,05%"
Insteel Industries,"31,03","31,68","30,93","-0,11","-0,35%"
Instructure Holdings,"27,00","31,47","26,50","+0,35","+1,31%"
Integer Hld,"72,42","73,77","71,84","-0,41","-0,56%"
InterContinental ADR,"69,38","70,81","69,37","+1,50","+2,21%"
Intercorp Financial Services,"25,30","25,81","25,10","-0,45","-1,75%"
International Paper,"36,91","37,81","36,86","-0,63","-1,68%"
International Seaways,"38,25","39,90","38,11","-1,35","-3,41%"
Intrepid Potash,"31,58","33,10","31,55","-0,64","-1,99%"
Invacare,"0,585","0,600","0,517","+0,049","+9,14%"
Inventrust Properties,"24,10","24,92","23,98","-0,68","-2,74%"
Invesco,"19,03","19,57","18,94","-0,12","-0,63%"
Invesco Mortgage,"13,960","14,062","13,673","+0,100","+0,72%"
InVitae Corp,"2,58","2,94","2,58","-0,06","-2,27%"
Invitation Homes,"30,96","31,91","30,93","-0,67","-2,12%"
Ion Acquisition 2,"1,980","2,060","1,935","0,000","0,00%"
IONQ,"4,20","4,55","4,20","-0,15","-3,45%"
IPG,"35,61","35,87","35,41","+0,03","+0,08%"
IQVIA Holdings,"220,55","224,82","220,42","-0,99","-0,45%"
Iron Mountain,"52,07","53,05","51,82","-0,25","-0,48%"
Ironnet,"0,380","0,449","0,379","-0,029","-7,07%"
IRSA ADR,"5,730","6,380","5,674","-0,470","-7,58%"
istar Inc,"8,65","9,07","8,59","-0,19","-2,15%"
Itau CorpBanca ADR,"3,240","3,399","3,230","-0,120","-3,57%"
Itau Unibanco,"5,110","5,210","5,060","+0,010","+0,20%"
ITT,"86,34","88,47","86,24","-0,42","-0,48%"
J&J,"169,76","172,00","169,71","-2,60","-1,51%"
J.Jill,"24,22","24,92","23,83","-0,60","-2,42%"
Jabil Circuit,"78,39","79,67","78,11","+0,06","+0,08%"
Jackson Financial,"38,33","38,63","37,54","+0,92","+2,46%"
Jacobs Engineering,"121,99","125,78","121,44","-2,46","-1,98%"
James Hardie Industries ADR,"20,64","21,34","20,59","-0,52","-2,46%"
Janus Henderson,"26,27","26,91","26,24","-0,32","-1,20%"
Janus International Group,"9,99","10,52","9,84","-0,36","-3,48%"
JATT Acquisition,"10,40","10,50","10,23","+0,17","+1,66%"
JBG SMITH Properties,"19,12","19,57","19,05","-0,28","-1,44%"
Jefferies Financial,"37,97","38,76","37,82","-0,35","-0,91%"
Jeld-Wen Holding,"11,36","11,73","11,27","-0,06","-0,53%"
Jianpu Tech,"1,590","1,680","1,560","+0,010","+0,63%"
JinkoSolar,"56,30","58,98","56,01","-1,20","-2,09%"
JM Smucker,"150,18","155,46","149,69","-5,29","-3,40%"
Joby Aviation,"4,27","4,64","4,25","-0,17","-3,83%"
John Bean Tech,"98,69","103,00","98,56","-2,86","-2,82%"
John Wiley&Sons,"42,97","44,41","42,86","-1,08","-2,45%"
John Wiley&Sons B,"44,13","44,13","44,11","+0,00","+0,00%"
Johnson Controls,"66,16","68,13","66,07","-1,61","-2,38%"
Jones Lang LaSalle,"175,80","178,43","175,00","-0,59","-0,33%"
JPMorgan,"136,57","140,73","136,41","-4,23","-3,00%"
Jumia Tech,"3,98","4,54","3,98","-0,40","-9,13%"
Juniper,"32,06","33,04","32,03","-0,06","-0,19%"
Kadant,"190,19","194,93","189,86","+0,03","+0,02%"
Kaleyra,"1,21","1,27","1,12","0,00","0,00%"
Kaman,"22,39","23,10","22,36","-0,53","-2,31%"
KAR Auction Services,"13,56","14,00","13,48","-0,11","-0,80%"
KB Financial,"46,28","47,41","46,26","-1,04","-2,20%"
KB Home,"35,29","36,56","35,19","+0,10","+0,28%"
KBR,"49,70","50,83","49,63","-0,91","-1,80%"
Ke Hldg,"18,94","19,30","18,81","-0,41","-2,12%"
Kellogg,"67,33","69,62","67,19","-2,39","-3,43%"
Kemper,"53,36","55,31","53,34","-1,22","-2,24%"
Kennametal,"26,71","27,52","26,65","-0,38","-1,40%"
Kennedy-Wilson,"16,33","16,57","16,20","-0,07","-0,43%"
Kenon Holdings,"34,01","34,39","33,69","+0,25","+0,74%"
Kepco ADR,"8,05","8,24","8,04","-0,06","-0,74%"
KeyCorp,"17,24","17,94","17,22","-0,78","-4,33%"
Keysight Technologies,"181,49","188,01","181,26","-3,47","-1,88%"
Kilroy,"40,37","41,35","40,00","-0,43","-1,05%"
Kimberly-Clark,"132,84","136,40","132,72","-4,02","-2,94%"
Kinder Morgan,"18,36","18,92","18,29","-0,46","-2,44%"
Kinetik Holdings,"31,19","33,02","31,12","-1,79","-5,43%"
Kingsway Financial,"8,060","8,280","8,030","-0,120","-1,47%"
Kinross Gold,"4,560","4,731","4,560","-0,050","-1,08%"
Kinsale Capital,"279,94","288,94","279,63","-6,17","-2,16%"
Kirby,"60,64","63,54","60,51","-2,23","-3,55%"
Kite Realty,"20,59","21,19","20,38","-0,43","-2,05%"
KKR & Co,"53,01","54,06","52,92","-0,52","-0,97%"
KKR Real Estate,"15,32","15,65","15,29","-0,17","-1,10%"
Knight Transportation,"56,20","58,11","56,18","-0,09","-0,16%"
Knowles Cor,"17,96","18,06","17,64","+0,43","+2,42%"
Kohl’s Corp,"30,15","31,28","30,06","+0,10","+0,33%"
Koninklijke Philips ADR,"16,40","16,82","16,38","-0,28","-1,68%"
Kontoor Brands,"46,29","47,55","46,01","+0,13","+0,28%"
Koppers,"31,66","32,56","31,52","-0,37","-1,16%"
KORE Holdings,"1,650","1,660","1,530","+0,080","+5,10%"
Korn Ferry,"52,60","54,30","52,54","-0,27","-0,51%"
Kosmos Energy,"7,670","8,110","7,650","+0,050","+0,66%"
KRC Interim,"21,35","22,08","21,32","-0,60","-2,73%"
Kroger,"45,26","46,39","45,10","-0,92","-1,99%"
Kronos Worldwide,"11,10","11,36","11,02","+0,22","+2,02%"
KT,"14,04","14,21","14,02","-0,01","-0,07%"
Kuke Music,"0,525","0,550","0,520","-0,035","-6,25%"
Kyndryl Holdings,"12,05","12,77","12,05","-0,53","-4,21%"
L3Harris Technologies,"192,97","195,41","191,34","-1,68","-0,86%"
La-Z-Boy,"26,11","27,12","25,97","-0,50","-1,88%"
Laboratory America,"251,35","255,65","250,99","-3,41","-1,34%"
Ladder Capital A,"10,86","11,07","10,82","-0,13","-1,18%"
Lamb Weston Holdings,"97,09","99,72","96,47","-2,90","-2,90%"
Lannett,"0,620","0,639","0,620","-0,010","-1,52%"
Laredo Petroleum,"47,60","51,69","47,55","-2,20","-4,42%"
Las Vegas Sands,"54,38","55,00","54,09","-0,07","-0,13%"
Lazard,"38,99","39,93","38,93","-0,01","-0,03%"
LCI Industries,"104,87","110,55","104,51","-5,82","-5,26%"
Lear,"136,14","139,59","135,52","-0,69","-0,50%"
Leggett&Platt,"34,15","35,31","34,13","-0,73","-2,09%"
Leidos,"95,54","98,43","95,53","-2,30","-2,35%"
Leju Holdings,"1,3900","1,4200","1,3600","-0,0285","-2,01%"
Lemonade,"15,83","16,94","15,70","-0,73","-4,41%"
LendingClub Corp,"9,81","10,35","9,78","-0,29","-2,87%"
Lennar,"97,56","101,27","97,43","-1,22","-1,24%"
Lennar B,"80,89","84,09","80,89","-0,90","-1,10%"
Lennox,"242,00","254,65","241,89","-10,72","-4,24%"
Levi Strauss A,"16,22","16,37","15,85","-0,06","-0,37%"
LG Display,"5,37","5,48","5,36","-0,05","-0,92%"
Liberty Oilfield,"14,75","16,16","14,71","-1,20","-7,52%"
LiCycle Holdings Corp,"5,64","6,01","5,62","-0,22","-3,75%"
Life Storage,"101,16","103,97","100,89","-1,65","-1,60%"
Life Time Holdings,"17,24","17,91","17,24","-0,22","-1,26%"
LightInTheBox,"1,270","1,330","1,240","+0,020","+1,60%"
Lightning Emotors,"0,680","0,759","0,665","-0,042","-5,82%"
Lightspeed Commerce,"16,27","17,36","16,24","-0,33","-1,99%"
Lincoln National,"30,30","31,50","30,12","-1,08","-3,44%"
Linde PLC,"324,34","333,95","324,18","-5,66","-1,72%"
Lindsay,"151,82","158,68","151,54","-4,33","-2,77%"
Lion Electric,"2,60","2,70","2,54","+0,06","+2,36%"
Lions Gate,"6,95","7,23","6,86","-0,07","-1,00%"
Lions Gate,"7,25","7,56","7,17","-0,05","-0,68%"
Lithia Motors,"231,25","239,88","230,93","-1,92","-0,82%"
Lithium Americas,"19,89","21,00","19,87","-0,79","-3,82%"
Live Nation Entertainment,"73,52","76,78","73,47","-2,60","-3,42%"
Livent,"24,12","24,64","23,94","+0,05","+0,21%"
Liveramp,"24,07","24,67","24,02","-0,01","-0,04%"
LiveWire Group,"5,367","5,550","5,190","+0,147","+2,83%"
LL Flooring Holdings,"5,91","6,40","5,87","-0,34","-5,44%"
Lloyds Banking ADR,"2,410","2,450","2,400","0,000","0,00%"
Loandepot,"2,23","2,30","2,21","+0,01","+0,45%"
Local Bounti,"1,020","1,250","1,010","-0,100","-8,93%"
Lockheed Martin,"441,27","448,23","440,65","-5,89","-1,32%"
Loews,"58,47","59,58","58,35","-0,88","-1,48%"
Loma Negra ADR,"7,220","7,894","7,178","-0,620","-7,91%"
Louisiana-Pacific,"63,09","65,80","63,03","-0,51","-0,80%"
Lowe’s,"208,50","214,18","208,11","-1,02","-0,49%"
LS Starrett,"8,110","8,250","7,910","+0,120","+1,50%"
Lsb Industries,"12,600","12,810","12,581","+0,140","+1,12%"
LTC Properties,"37,55","38,26","37,32","-0,12","-0,32%"
Lufax,"2,54","2,74","2,52","-0,12","-4,51%"
Lumen Technologies,"5,35","5,62","5,34","-0,24","-4,29%"
Lument Finance Trust,"2,140","2,200","2,040","+0,110","+5,42%"
Luxfer,"15,48","15,76","15,31","+0,01","+0,06%"
LXP Industrial Trust,"11,09","11,27","11,00","-0,12","-1,03%"
LyondellBasell Industries,"90,82","93,37","90,72","-0,77","-0,84%"
M&T Bank,"145,80","149,45","145,63","-4,74","-3,15%"
M/I Homes,"54,21","55,90","53,96","-0,03","-0,06%"
Macerich,"12,43","12,78","12,31","-0,21","-1,66%"
Macy’s Inc,"23,08","23,72","22,98","+0,18","+0,79%"
Madison Square Garden Entertainment,"48,44","48,47","45,23","+3,09","+6,81%"
Madison Square Garden Sports,"177,42","178,51","176,13","-0,63","-0,35%"
Magna Intl,"63,86","65,99","63,81","-1,29","-1,98%"
MagnaChip,"10,66","11,05","10,64","-0,19","-1,75%"
Magnolia Oil,"23,03","24,27","23,01","-0,61","-2,58%"
Manchester United,"22,94","23,03","22,71","+0,12","+0,53%"
Manitowoc,"12,31","12,70","11,69","+0,93","+8,17%"
ManpowerGroup,"86,38","87,58","86,01","+0,28","+0,33%"
Manulife Financial,"18,69","19,13","18,68","-0,33","-1,74%"
Marathon Oil,"26,88","27,95","26,81","+0,08","+0,30%"
Marathon Petroleum,"121,31","125,85","121,01","-0,46","-0,38%"
Marcus,"15,20","15,66","15,06","-0,30","-1,94%"
Marcus & Millichap,"37,73","38,25","37,11","+0,20","+0,53%"
MariaDB,"3,45","3,80","3,45","-0,33","-8,71%"
Marine Products,"13,58","13,98","13,52","-0,33","-2,37%"
MarineMax,"33,21","34,40","33,01","-0,59","-1,75%"
Markel,"1.380,35","1.423,53","1.376,62","-22,91","-1,63%"
Markforged Holding,"1,310","1,420","1,280","-0,080","-5,76%"
Marriot Vacations Worldwide,"150,56","154,74","149,80","-1,51","-0,99%"
Marsh McLennan,"168,81","172,34","168,52","-3,20","-1,86%"
Martin Marietta Materials,"351,80","358,49","351,65","-1,29","-0,37%"
Masco,"50,39","51,76","50,33","-0,54","-1,06%"
Masonite Int,"85,45","88,11","85,33","-0,80","-0,93%"
MasTec,"93,68","96,43","93,37","-1,41","-1,48%"
MasterBrand,"8,17","8,64","8,09","-0,18","-2,16%"
Mastercard,"368,92","375,81","368,50","-6,08","-1,62%"
Matador,"59,00","62,25","58,98","-0,97","-1,62%"
Materion,"90,36","95,23","90,26","-3,50","-3,73%"
Mativ Holdings,"26,40","26,88","26,20","+0,03","+0,11%"
Matson,"63,72","65,25","63,56","+0,08","+0,13%"
Maui Land&Pineapple,"9,18","9,81","9,16","-0,51","-5,26%"
Maxar Tech,"51,25","51,30","51,18","0,00","0,00%"
Maximus,"73,37","73,71","72,87","+0,30","+0,41%"
Mayville Engineering,"13,52","13,81","13,34","+0,08","+0,60%"
MBIA,"12,82","13,34","12,82","-0,40","-3,03%"
McCormick & Comp,"77,50","81,13","77,29","-2,50","-3,13%"
McCormick&Co,"77,17","81,14","77,13","-3,93","-4,85%"
McDonald’s,"266,04","274,37","265,72","-8,07","-2,94%"
McEwen Mining Inc.,"6,4600","6,8700","6,4500","-0,2000","-3,00%"
McKesson,"378,40","384,43","378,28","-5,07","-1,32%"
MDC,"35,98","37,09","35,81","-0,25","-0,69%"
MDU Resources,"30,07","30,79","30,06","-0,58","-1,89%"
Mediaalpha,"12,08","12,15","11,63","+0,43","+3,69%"
Medical Properties,"13,49","13,77","13,43","-0,10","-0,74%"
MEDIFAST,"116,58","122,80","116,16","-0,50","-0,43%"
Medtronic,"78,73","80,39","78,66","-1,62","-2,02%"
Membership Collective Group,"5,36","5,63","5,10","+0,26","+5,10%"
Merck&Co,"108,79","110,10","108,58","-1,66","-1,50%"
Mercury General,"35,11","35,62","34,84","-0,41","-1,15%"
Meridianlink,"15,98","15,98","15,46","+0,43","+2,77%"
Meritage,"99,39","102,98","99,04","-0,47","-0,47%"
Mesa Royalty Trust,"20,280","21,440","19,500","-0,900","-4,25%"
Mesabi Trust,"19,89","20,68","19,77","+0,18","+0,91%"
Meta Data,"1,09","1,12","1,07","-0,04","-3,54%"
Methode Electronics,"46,28","47,27","46,09","-0,35","-0,75%"
MetLife,"70,16","71,88","70,08","-1,41","-1,97%"
Metropolitan Bank,"58,92","59,43","58,58","-0,33","-0,56%"
Mettler-Toledo,"1.539,65","1.567,86","1.532,07","+8,35","+0,55%"
MFA Financial,"11,290","11,435","11,160","+0,180","+1,62%"
MGIC Investment,"13,44","13,73","13,31","+0,10","+0,75%"
MGM,"38,28","39,54","38,27","-0,69","-1,77%"
Micro Focus ADR,"6,500","6,540","6,500","+0,030","+0,46%"
Mid-America Apartment,"157,70","161,96","157,60","-3,67","-2,27%"
Miller Industries,"28,21","29,29","28,04","-0,46","-1,60%"
Minerals Technologies,"64,89","66,76","64,83","-1,01","-1,53%"
Miniso,"13,83","14,95","13,64","-0,18","-1,28%"
Mirion Technologies,"7,55","7,64","7,49","-0,03","-0,40%"
Mister Car Wash,"9,80","10,26","9,75","-0,33","-3,26%"
Mistras,"5,10","5,37","5,00","0,00","0,00%"
Mitsubishi UFJ Financial ADR,"7,340","7,420","7,320","-0,110","-1,48%"
Mix Telemats,"7,13","7,57","7,02","-0,37","-4,93%"
Mizuho Financial ADR,"3,170","3,210","3,131","-0,020","-0,63%"
Model N Inc,"42,39","43,18","41,83","-0,23","-0,54%"
Modine Manufacturing,"22,14","23,12","22,08","-0,30","-1,34%"
Modiv,"11,65","11,97","11,56","-0,34","-2,84%"
Moelis & Co,"45,16","45,91","44,60","+0,27","+0,60%"
MOGU,"2,7000","2,7200","2,7000","-0,0100","-0,37%"
Mohawk Industries,"112,62","114,16","111,37","+1,44","+1,30%"
Molina Healthcare,"295,20","301,48","294,68","-4,12","-1,38%"
Molson Coors Brewing A,"73,80","75,00","72,50","-1,00","-1,34%"
Molson Coors Brewing B,"49,03","50,62","48,97","-1,35","-2,68%"
MoneyLion,"0,72","0,85","0,68","-0,11","-13,41%"
Montrose,"50,15","52,78","50,15","-1,89","-3,63%"
Moody’s,"316,48","321,62","314,83","+2,90","+0,92%"
Moog,"90,11","91,84","89,99","-1,39","-1,52%"
Moog B,"91,11","91,22","91,11","+4,19","+4,82%"
Morgan Stanley,"96,58","97,95","96,33","-0,50","-0,52%"
Mosaic,"47,06","48,78","47,04","-0,19","-0,40%"
Motorola,"256,86","264,42","256,52","-6,43","-2,44%"
Movado,"34,39","35,89","34,32","-0,96","-2,72%"
MP Materials,"29,46","30,76","29,40","-0,25","-0,84%"
MRC Global,"11,730","12,320","11,705","-0,320","-2,66%"
MSA Safety,"132,36","136,63","131,49","-2,52","-1,87%"
MSC Industrial Direct,"77,73","79,86","77,72","-1,35","-1,71%"
MSCI,"506,34","525,84","505,23","-3,94","-0,77%"
Mueller Industries,"64,80","67,15","64,77","-1,43","-2,16%"
Mueller Water Products,"11,92","12,27","11,91","-0,26","-2,13%"
MultiPlan,"1,100","1,220","1,100","-0,090","-7,56%"
Murphy Oil,"41,37","43,28","41,31","-0,73","-1,73%"
Murphy USA Inc,"262,19","269,85","262,06","-5,73","-2,14%"
Myers Industries,"23,54","24,48","23,53","-0,91","-3,72%"
Myovant Sciences,"26,85","26,91","26,84","-0,04","-0,15%"
MYT Netherlands,"11,14","11,78","10,92","+0,01","+0,09%"
NAble,"9,82","10,27","9,80","-0,19","-1,90%"
Nabors Industries,"170,27","175,33","166,45","-2,75","-1,59%"
NACCO Industries,"35,93","38,42","35,76","-1,81","-4,80%"
National Bank Holdings,"42,44","43,49","42,27","-1,15","-2,64%"
National Fuel Gas,"58,40","60,97","58,39","-2,00","-3,31%"
National Grid ADR,"63,76","64,31","63,65","-0,06","-0,09%"
National Health Investors,"55,73","56,93","55,49","-0,35","-0,62%"
National Presto Industries,"71,06","73,31","70,96","-2,00","-2,74%"
National Retail Properties,"47,06","47,82","46,87","-0,68","-1,42%"
National Storage Affiliates Trust,"37,87","38,66","37,69","-0,70","-1,81%"
Natura & Co,"4,75","5,03","4,75","-0,07","-1,45%"
Natural Gas Services,"11,55","12,24","11,45","-0,71","-5,79%"
Natural Grocers Vitamin,"9,43","10,06","9,43","-0,60","-5,98%"
Natuzzi,"7,53","7,88","7,53","-0,47","-5,88%"
Natwest Group,"7,420","7,490","7,390","-0,020","-0,27%"
Nautilus,"1,71","1,83","1,71","-0,08","-4,47%"
Navigator Holdings,"12,16","12,56","12,02","-0,01","-0,08%"
Navios Maritime Holdings,"1,790","1,890","1,780","0,000","0,00%"
NCR,"25,87","26,13","25,65","+0,22","+0,86%"
Nelnet,"91,86","93,91","91,71","-1,32","-1,42%"
Nerdy,"2,79","2,91","2,77","+0,01","+0,36%"
Netstreit,"19,49","20,11","19,43","-0,42","-2,11%"
Nevro Corp,"37,80","38,56","37,11","-0,12","-0,32%"
New Oriental Education&Tech,"40,770","41,580","39,260","+3,240","+8,63%"
New Relic Inc,"58,07","60,92","58,00","-0,99","-1,68%"
New York City REIT,"13,90","14,61","13,65","+0,14","+1,02%"
NewJersey Resources,"49,44","50,61","49,31","-1,05","-2,08%"
NewMarket,"346,27","346,42","339,50","+6,48","+1,91%"
Newmont Goldcorp,"51,53","53,25","51,44","-0,94","-1,79%"
Newpark Resources,"4,520","4,900","4,485","-0,290","-6,03%"
NewYork Community Bancorp,"9,50","9,67","9,49","-0,13","-1,35%"
NewYork Times,"33,80","34,70","33,65","-0,29","-0,85%"
Nexa Resources,"7,230","7,500","7,160","-0,110","-1,50%"
NexGen Energy,"4,450","4,740","4,445","-0,200","-4,30%"
Nexpoint,"17,84","18,35","17,72","-0,09","-0,50%"
NexPoint Diversified RE Trust,"11,86","12,31","11,81","-0,20","-1,66%"
Nexpoint Residential Trust Inc,"44,59","45,71","44,41","-0,81","-1,78%"
Nextdoor Holdings,"2,15","2,29","2,14","-0,03","-1,38%"
NextEra Energy,"83,80","86,04","83,73","-1,94","-2,26%"
Nextier Oilfield Solutions,"8,950","10,000","8,940","-0,920","-9,32%"
Nicolet Bankshares,"71,19","77,75","71,04","-7,67","-9,73%"
Nike,"126,43","128,59","126,00","-1,71","-1,33%"
Nine Energy,"14,550","15,585","14,430","-0,460","-3,06%"
Nio A ADR,"11,01","11,69","10,98","-0,40","-3,51%"
NiSource,"27,04","27,73","27,01","-0,58","-2,10%"
NL Industries,"7,260","7,639","7,250","-0,200","-2,68%"
Noah,"17,01","18,27","16,93","-0,99","-5,50%"
Noble,"39,72","41,50","38,94","-0,86","-2,12%"
Nokia ADR,"4,780","4,890","4,770","-0,040","-0,83%"
Nomad Foods,"16,94","17,45","16,77","-0,33","-1,91%"
Nomura ADR,"3,990","4,040","3,970","-0,040","-0,99%"
Nordic American Tankers,"3,150","3,305","3,130","-0,070","-2,17%"
Nordstrom,"17,58","18,35","17,54","-0,19","-1,07%"
Norfolk Southern,"254,67","260,20","254,00","-1,99","-0,78%"
North American Construction,"14,27","14,36","13,99","+0,06","+0,42%"
North European Oil Royalty Trust,"16,000","16,360","15,390","+0,850","+5,61%"
Northern Oil&Gas,"31,17","32,91","31,16","-1,07","-3,32%"
Northrop Grumman,"446,06","454,08","445,51","-9,51","-2,09%"
Northwest Natural Gas,"48,60","49,60","48,35","-0,98","-1,98%"
Norwegian Cruise Line,"15,53","16,36","15,36","-0,47","-2,94%"
